Position,UniqId,Block,Trt,ML,Species,Combos,Of_exp,TotalProjStr,AreaConvexHull,MaxWidth,rootangle_right,rootangle_left,AvAng
100,100L,1,Inter,Ip-4.16,P,Ihed-4.2-Ip-4.16,O,475.3752136,83.47392273,6.177434444,70.30000305,75.40000153,17.14999771
104,104L,1,Intra,Ihed-4.7,H,Ihed-4.4-Ihed-4.7,O,262.0452271,77.79025269,6.628043175,85.69999695,80.59999847,6.85000229
104,104R,1,Intra,Ihed-4.4,H,Ihed-4.4-Ihed-4.7,O,295.7652283,81.10353088,6.365870953,72.09999847,103.8000031,17.90000153
106,106R,1,Alone,Ihed-4.3,H,Ihed-4.3,O,404.4784241,89.90440369,6.406835079,60.79999924,65.5,26.85000038
107,107L,1,Alone,Ihed-4.15,H,Ihed-4.15,O,516.3909912,126.3030472,8.774579048,11.69999981,96.30000305,78.30000019
108,108L,1,Inter,Ip-4.16,P,Ihed-4.15-Ip-4.16,O,383.9257813,75.22654724,5.669475555,65,99.59999847,25
109,109R,1,Alone,Ihed-4.1,H,Ihed-4.1,O,239.7970123,80.90322876,11.47003746,26,88.5,32.75
10,10R,1,Inter,Ihed-4.2,H,Ihed-4.2-Ip-4.13,O,165.6904755,40.33052444,7.17696619,59,74.59999847,23.20000077
110,110L,1,Intra,Ihed-4.15,H,Ihed-4.12-Ihed-4.15,O,217.1847382,137.8420258,13.71488762,45,40.5,47.25
110,110R,1,Intra,Ihed-4.12,H,Ihed-4.12-Ihed-4.15,O,261.3751831,73.5340271,8.119148254,72.09999847,95,17.90000153
111,111L,1,Intra,Ihed-4.4,H,Ihed-4.3-Ihed-4.4,O,231.4678802,78.05317688,8.373126984,56.29999924,72.19999695,25.75000191
111,111R,1,Intra,Ihed-4.3,H,Ihed-4.3-Ihed-4.4,O,193.1251221,66.90969086,7.709503651,92,78.30000305,11.69999695
112,112L,1,Inter,Ip-4.14,P,Ihed-4.4-Ip-4.14,O,660.8403931,114.0733719,11.20786476,48.40000153,75.80000305,27.89999771
112,112R,1,Inter,Ihed-4.4,H,Ihed-4.4-Ip-4.14,O,259.5516052,85.08515167,8.45505619,59.70000076,89.09999847,15.60000039
113,113L,1,Alone,Ip-4.12,P,Ip-4.12,O,494.7436523,73.6831131,6.455992699,73.69999695,81.90000153,12.20000076
114,114L,1,Alone,Ihed-4.1,H,Ihed-4.1,O,302.3888855,92.81776428,7.979868889,89.5,47.09999847,21.70000077
116,116L,1,Intra,Ihed-4.1,H,Ihed-4.1-Ihed-4.15,O,257.36203,71.04905701,6.890215397,63,53,32
116,116R,1,Intra,Ihed-4.15,H,Ihed-4.1-Ihed-4.15,O,290.0834351,95.91127777,8.520599365,92,44,46
117,117R,1,Inter,Ip-4.12,P,Ihed-4.7-Ip-4.12,O,367.6716919,79.66419983,7.02130127,75.80000305,79.5,12.34999848
119,119L,1,Inter,Ihed-4.4,H,Ihed-4.4-Ip-4.13,O,134.490036,111.893074,6.26755619,74.40000153,81.59999847,12
119,119R,1,Inter,Ip-4.13,P,Ihed-4.4-Ip-4.13,O,414.2800903,55.86830521,6.447799683,80.30000305,48.20000076,25.7499981
11,11R,1,Inter,Ip-4.15,P,Ihed-4.1-Ip-4.15,O,204.5507965,50.97092056,5.857912064,101,62,28
121,121L,1,Inter,Ihed-4.1,H,Ihed-4.1-Ip-4.15,O,148.6285248,76.69392395,5.292603016,76.40000153,65.5,19.04999924
121,121R,1,Inter,Ip-4.15,P,Ihed-4.1-Ip-4.15,O,412.7870178,73.46375275,7.38998127,67.09999847,93.5,22.90000153
122,122L,1,Inter,Ip-4.18,P,Ihed-4.1-Ip-4.18,O,454.6378784,64.0112381,6.316713333,80,79.5,10.25
123,123L,1,Inter,Ihed-4.2,H,Ihed-4.2-Ip-4.18,O,187.8715057,72.03630829,8.889279366,30.89999962,58.29999924,45.40000057
123,123R,1,Inter,Ip-4.18,P,Ihed-4.2-Ip-4.18,O,267.4016724,78.97873688,8.315776825,90.30000305,74.90000153,15.09999847
