UniqId,Position,Block,Trt,LorR,Species,ML,Combos,Of_exp,Seed_Number
102L,102,1,Alone,L,P,Ip-4.16,Ip-4.16,O,2200
103L,103,1,Intra,L,H,Ihed-4.15,Ihed-4.15-Ihed-4.4,O,302
103R,103,1,Intra,R,H,Ihed-4.4,Ihed-4.15-Ihed-4.4,O,172
105L,105,1,Alone,L,H,Ihed-4.4,Ihed-4.4,O,1925
118L,118,1,Intra,L,H,Ihed-4.2,Ihed-4.2-Ihed-4.4,R,44
118R,118,1,Intra,R,H,Ihed-4.4,Ihed-4.2-Ihed-4.4,R,34
120L,120,1,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.14,O,1095
120R,120,1,Inter,R,P,Ip-4.14,Ihed-4.4-Ip-4.14,O,781
131L,131,1,Alone,L,H,Ihed-4.9,Ihed-4.9,O,2260
132L,132,1,Inter,L,H,Ihed-4.3,Ihed-4.3-Ip-4.12,R,346
132R,132,1,Inter,R,P,Ip-4.12,Ihed-4.3-Ip-4.12,R,143
135L,135,1,Inter,L,H,Ihed-4.1,Ihed-4.1-Ip-4.14,R,27
135R,135,1,Inter,R,P,Ip-4.14,Ihed-4.1-Ip-4.14,R,110
138L,138,1,Alone,L,H,Ihed-4.4,Ihed-4.4,R,115
13L,13,1,Inter,L,P,Ip-4.16,Ihed-4.4-Ip-4.16,O,173
140R,140,1,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.11,R,159
141L,141,1,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.16,O,1566
147L,147,1,Intra,L,H,Ihed-4.9,Ihed-4.15-Ihed-4.9,O,737
147R,147,1,Intra,R,H,Ihed-4.15,Ihed-4.15-Ihed-4.9,O,581
149L,149,1,Inter,L,P,Ip-4.12,Ihed-4.2-Ip-4.12,O,386
14L,14,1,Intra,L,H,Ihed-4.4,Ihed-4.3-Ihed-4.4,O,173
14R,14,1,Intra,R,H,Ihed-4.3,Ihed-4.3-Ihed-4.4,O,228
152L,152,1,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.2,R,97
152R,152,1,Intra,R,H,Ihed-4.2,Ihed-4.1-Ihed-4.2,R,111
153L,153,1,Intra,L,H,Ihed-4.12,Ihed-4.12-Ihed-4.2,R,119
153R,153,1,Intra,R,H,Ihed-4.2,Ihed-4.12-Ihed-4.2,R,62
156L,156,1,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.15,R,224
156R,156,1,Inter,R,P,Ip-4.15,Ihed-4.7-Ip-4.15,R,327
158L,158,1,Alone,L,H,Ihed-4.3,Ihed-4.3,R,84
159L,159,1,Intra,L,H,Ihed-4.2,Ihed-4.1-Ihed-4.2,R,122
160L,160,1,Inter,L,H,Ihed-4.15,Ihed-4.15-Ip-4.12,R,117
160R,160,1,Inter,R,P,Ip-4.12,Ihed-4.15-Ip-4.12,R,153
162L,162,1,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.13,R,115
162R,162,1,Inter,R,P,Ip-4.13,Ihed-4.12-Ip-4.13,R,27
166L,166,1,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.11,O,924
166R,166,1,Inter,R,P,Ip-4.11,Ihed-4.12-Ip-4.11,O,1122
174L,174,1,Inter,L,P,Ip-4.17,Ihed-4.15-Ip-4.17,R,73
174R,174,1,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.17,R,51
177L,177,1,Alone,L,H,Ihed-4.7,Ihed-4.7,O,820
178L,178,1,Alone,L,H,Ihed-4.9,Ihed-4.9,O,741
180L,180,1,Alone,L,H,Ihed-4.1,Ihed-4.1,O,832
181L,181,1,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.2,O,1260
181R,181,1,Intra,R,H,Ihed-4.2,Ihed-4.1-Ihed-4.2,O,1015
183L,183,1,Inter,L,H,Ihed-4.3,Ihed-4.3-Ip-4.11,O,722
184L,184,1,Alone,L,H,Ihed-4.15,Ihed-4.15,O,1017
187L,187,1,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.11,R,185
187R,187,1,Inter,R,P,Ip-4.11,Ihed-4.9-Ip-4.11,R,59
188L,188,1,Alone,L,H,Ihed-4.9,Ihed-4.9,O,24
197L,197,1,Inter,L,P,Ip-4.17,Ihed-4.12-Ip-4.17,R,144
197R,197,1,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.17,R,90
199L,199,1,Inter,L,P,Ip-4.14,Ihed-4.7-Ip-4.14,O,741
199R,199,1,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.14,O,426
19L,19,1,Intra,L,H,Ihed-4.9,Ihed-4.1-Ihed-4.9,O,735
19R,19,1,Intra,R,H,Ihed-4.1,Ihed-4.1-Ihed-4.9,O,1182
1R,1,1,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.11,R,40
202L,202,1,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.18,R,18
