Id,Experiment,Population,Code,Species,ML,PrimaryRootLength,Angle_1,Angle_2,RootSystemWidth,AvAng,Total.Area
1,1,PA2,PA 2.11 Ihed,Ihed,PA 2.11 Ihed,11.98761905,44.88234461,28.33230444,11.66484407,36.60732452,2.349
1,2,PA4,PA 4.16 Ip,Ip,PA 4.16 Ip,11.65877551,23.00842549,18.68689994,4.044096981,20.84766271,2.283
2,1,PA2,PA 2.5 Ihed,Ihed,PA 2.5 Ihed,14.1847619,46.80297731,61.83740566,13.62296847,54.32019149,2.921
2,2,PA1,PA 1.1 Ip,Ip,PA 1.1 Ip,11.4785034,67.20064872,26.30757953,4.267567275,46.75411413,1.505
3,1,PA4,PA 4.13 Ip,Ip,PA 4.13 Ip,13.3770068,37.25037825,45.71918779,11.13813331,41.48478302,2.735
3,2,PA3,PA 3.1 Ihed,Ihed,PA 3.1 Ihed,12.43319728,20.53469221,17.21977711,6.207075798,18.87723466,6.234
4,1,PA1,PA 1.2 Ihed,Ihed,PA 1.2 Ihed,2.187482993,34.60518171,35.97627952,10.52513581,35.29073062,3.618
4,2,PA1,PA 1.1 Ip,Ip,PA 1.1 Ip,11.43605442,47.4071307,62.10372194,2.347664027,54.75542632,1.06
5,1,PA4,PA 4.2 Ip,Ip,PA 4.2 Ip,7.021632653,57.51827888,25.80106714,12.73971333,41.65967301,1.826
5,2,PA4,PA 4.7 Ihed,Ihed,PA 4.7 Ihed,11.72244898,31.12252658,29.40098446,6.918787181,30.26175552,4.556
6,1,PA1,PA 1.4 Ip,Ip,PA 1.4 Ip,16.58496599,13.33925352,33.25423117,6.787583834,23.29674234,1.467
6,2,PA2,PA 2.2 Ihed,Ihed,PA 2.2 Ihed,11.22380952,26.11679333,23.32797107,6.798472078,24.7223822,3.935
7,2,OC1,OC 1.6 Ip,Ip,OC 1.6 Ip,0.286462585,20.32632929,52.41274193,6.024192799,36.36953561,5.818981148
8,2,OC1,OC 1.2 Ip,Ip,OC 1.2 Ip,11.92401361,31.79569439,29.83653091,5.790000754,30.81611265,2.698
10,1,PA1,PA 1.9 Ihed,Ihed,PA 1.9 Ihed,14.31401361,18.18623819,39.01395996,8.818003877,28.60009907,1.515
