Id,Experiment,Code,Population,Species,Comment,LatRightX,LatRightY,LatLeftX,LatLeftY,PRX,PRY,PRXtip,PRYtip
1,1,PA 2.11 Ihed,PA2,Ihed,,23.939,28.4513,6.8397,27.1689,12.397,16.8618,16.1968,34.4836
1,2,PA 4.16 Ip,PA4,Ip,,13.7622,15.4542,8.117,13.5907,10.269,7.2281,8.8187,24.3665
10,1,PA 1.9 Ihed,PA1,Ihed,,19.5217,27.3114,6.8872,24.414,15.1994,14.1544,15.2944,35.196
100,1,PA 3.3 Ihed,PA3,Ihed,,18.9992,17.1943,5.9373,23.2265,11.447,16.1018,13.1095,35.386
101,2,OC 1.2 Ip,OC1,Ip,,16.8109,17.1696,6.6901,10.0429,9.731,6.3002,14.0351,24.2807
102,1,PA 4.12 Ip,PA4,Ip,,24.1341,17.8986,9.7719,19.3981,17.0822,11.7338,19.5481,33.6936
104,2,PA 1.4 Ip,PA1,Ip,,10.6043,9.5829,7.7427,8.4445,9.4971,6.6667,7.9532,23.041
105,1,PA 1.15 Ihed,PA1,Ihed,,21.914,18.5609,9.6012,29.9073,16.2949,11.5631,14.962,13.4625
106,1,PA 3.17 Ihed,PA3,Ihed,,24.9422,23.0553,7.2727,22.8054,15.1453,11.5089,14.0456,33.652
107,1,PA 1.1 Ihed,PA1,Ihed,,20.9809,19.4689,6.3355,22.1681,13.1834,10.8216,13.7832,33.5645
107,2,PA 4.4 Ihed,PA4,Ihed,,10.963,11.5244,7.1657,11.3451,10.0741,7.2203,9.9026,24.2807
108,1,PA 4.17 Ip,PA4,Ip,,19.6605,20.0771,7.002,18.4317,15.3702,10.4926,16.7531,33.4895
108,2,PA 3.9 Ihed,PA3,Ihed,,13.9182,8.2755,7.0565,12.1638,10.5055,6.6615,8.6342,24.3899
11,1,PA 1.7 Ip,PA1,Ip,,22.3241,25.4114,4.7498,25.2215,13.6319,16.7668,14.4869,35.5285
110,1,PA 4.9 Ihed,PA4,Ihed,,25.5295,23.4177,9.4845,25.3171,17.3571,10.8341,17.507,33.6895
112,1,OC 1.2 Ip,OC1,Ip,,27.3415,22.1556,6.0231,18.4734,15.541,10.4926,17.4737,33.652
112,2,PA 1.18 Ihed,PA1,Ihed,,16.2912,19.6209,6.7665,20.1264,10.739,6.6099,11.3489,26.4231
113,1,PA 1.14 Ihed,PA1,Ihed,,24.3466,18.1318,6.852,19.7647,15.9825,7.985,14.4497,33.6437
113,2,PA 1.4 Ip,PA1,Ip,,13.8297,9.6264,7.3352,11.4231,10.7967,6.8736,8.9011,22.1209
114,1,PA 4.15 Ip,PA4,Ip,,18.0569,10.1302,8.6765,20.9268,15.8742,7.0811,12.3087,32.923
114,2,PA 1.2 Ihed,PA1,Ihed,,14.4406,13.744,4.8655,15.4698,10.5835,5.6452,10.0117,6.269
115,1,PA 1.4 Ihed,PA1,Ihed,,25.0755,24.4965,8.0475,31.4443,16.7073,8.4474,15.5077,33.6395
115,2,PA 4.17 Ip,PA4,Ip,,12.4055,15.041,6.2144,13.8792,9.5049,6.4562,9.9259,24.7486
116,1,PA 3.9 Ihed,PA3,Ihed,,25.5878,26.7875,8.085,27.2415,16.2074,8.9972,18.4067,33.6395
117,2,PA 4.7 Ihed,PA4,Ihed,,15.0098,20.7876,6.0897,11.0721,9.7232,6.4172,10.6901,25.1384
118,1,OC 1.7 Ip,OC1,Ip,,21.2184,19.5939,8.5473,15.1453,15.3202,8.2724,16.5198,9.1721
119,1,PA 1.15 Ihed,PA1,Ihed,,23.9717,32.1774,8.2599,20.5977,16.6573,8.4515,15.5077,33.527
119,2,PA 1.2 Ihed,PA1,Ihed,,17.2476,16.9669,7.2905,12.7875,10.4094,6.8304,10.9864,8.0312
12,1,PA 1.7 Ip,PA1,Ip,,23.369,21.6591,3.2774,21.4216,14.3919,14.9144,15.6269,34.8161
12,2,PA 1.12 Ip,PA1,Ip,,9.7024,9.6738,9.141,8.8525,10.1807,6.794,10.5757,16.1612
120,1,PA 1.2 Ihed,PA1,Ihed,,21.4225,16.9864,9.8094,24.8172,15.0911,7.2477,16.4574,33.6062
120,2,PA 1.5 Ihed,PA1,Ihed,,12.3197,17.7154,3.1501,18.464,9.3801,5.9727,8.5536,24.6706
121,1,PA 1.5 Ihed,PA1,Ihed,,22.418,19.7438,7.91,24.0175,16.0075,9.1721,13.5208,33.6145
121,2,PA 4.2 Ihed,PA4,Ihed,,13.089,13.0137,5.8792,14.6251,10.2638,7.1137,9.874,7.5556
